,"n: 250000, k: 10000","n: 500000, k: 10000","n: 1000000, k: 10000"
0,0.0,0.028200000000000003,0.3858
1,0.0,0.0342,0.3776
2,0.0,0.0348,0.3895
3,0.0,0.0322,0.37989999999999996
4,0.0,0.029599999999999998,0.3819
5,0.0,0.030400000000000003,0.3817
6,0.0,0.032,0.3851
7,0.0,0.029799999999999997,0.38670000000000004
8,0.0,0.029,0.38630000000000003
9,0.0,0.0278,0.3851
10,0.0,0.037,0.3828
11,0.0,0.0322,0.3775
12,0.0,0.032,0.3944
13,0.0,0.030400000000000003,0.3785
14,0.0,0.03,0.3881
15,0.0,0.0354,0.3831
16,0.0,0.032,0.386
17,0.0,0.0334,0.3813
18,0.0,0.030600000000000002,0.3815
19,0.0,0.0322,0.38029999999999997
20,0.0,0.030600000000000002,0.3876
21,0.0,0.034999999999999996,0.38730000000000003
22,0.0,0.028200000000000003,0.38570000000000004
23,0.0,0.030600000000000002,0.382
24,0.0,0.029,0.3856
25,0.0,0.0302,0.3875
26,0.0,0.031799999999999995,0.38830000000000003
27,0.0,0.0314,0.3845
28,0.0,0.029799999999999997,0.3868
29,0.0,0.0294,0.3826
30,0.0,0.0324,0.3885
31,0.0,0.0308,0.3862
32,0.0,0.0366,0.3814
33,0.0,0.0356,0.3856
34,0.0,0.0342,0.3835
35,0.0,0.0314,0.38939999999999997
36,0.0,0.0324,0.3856
37,0.0,0.031799999999999995,0.3886
38,0.0,0.0314,0.3844
39,0.0,0.0308,0.3852
40,0.0,0.031,0.3902
41,0.0,0.0332,0.3895
42,0.0,0.0372,0.3821
43,0.0,0.0342,0.3852
44,0.0,0.0312,0.386
45,0.0,0.0278,0.3878
46,0.0,0.0346,0.3871
47,0.0,0.034999999999999996,0.387
48,0.0,0.0352,0.3829
49,0.0,0.0322,0.38899999999999996
50,0.0,0.0302,0.38730000000000003
51,0.0,0.0302,0.3836
52,0.0,0.0324,0.38730000000000003
53,0.0,0.037,0.3835
54,0.0,0.03,0.386
55,0.0,0.0332,0.38670000000000004
56,0.0,0.0286,0.38180000000000003
57,0.0,0.029799999999999997,0.3832
58,0.0,0.0292,0.39249999999999996
59,0.0,0.0292,0.3784
60,0.0,0.034999999999999996,0.38539999999999996
61,0.0,0.0352,0.3882
62,0.0,0.0292,0.37789999999999996
63,0.0,0.031599999999999996,0.3879
64,0.0,0.031799999999999995,0.3856
65,0.0,0.0278,0.38930000000000003
66,0.0,0.030400000000000003,0.386
67,0.0,0.0346,0.3838
68,0.0,0.0314,0.3903
69,0.0,0.031799999999999995,0.39139999999999997
70,0.0,0.032,0.3844
71,0.0,0.036000000000000004,0.3817
72,0.0,0.0366,0.3878
73,0.0,0.0348,0.3784
74,0.0,0.0268,0.3889
75,0.0,0.029799999999999997,0.3819
76,0.0,0.027,0.3885
77,0.0,0.0312,0.38670000000000004
78,0.0,0.034,0.3886
79,0.0,0.031,0.3816
80,0.0,0.031799999999999995,0.3813
81,0.0,0.0336,0.3866
82,0.0,0.0344,0.39249999999999996
83,0.0,0.033,0.3871
84,0.0,0.031799999999999995,0.386
85,0.0,0.04,0.3859
86,0.0,0.0286,0.3906
87,0.0,0.029799999999999997,0.3792
88,0.0,0.031799999999999995,0.394
89,0.0,0.037399999999999996,0.392
90,0.0,0.037599999999999995,0.3821
91,0.0,0.0352,0.3903
92,0.0,0.03,0.3885
93,0.0,0.029799999999999997,0.38639999999999997
94,0.0,0.030600000000000002,0.3866
95,0.0,0.031,0.3878
96,0.0,0.034,0.38570000000000004
97,0.0,0.029799999999999997,0.3915
98,0.0,0.0302,0.3825
99,0.0,0.0314,0.3849
