,v
0,"[0, 0.005894284650913346, 0.005951265687249229, 0.006011509910319382, 0.006074474673920807, 0.0061394034334192014, 0.006205494547285291, 0.006272134403451054, 0.006339084435924247, 0.006406559881233558, 0.006475218319258197, 0.006546026796615404, 0.0066201027931254, 0.00669864599558795, 0.006782985182800731, 0.006874694061880078, 0.006975795592155018, 0.007089447496868321, 0.007229162791930306, 0.007651501931803318, 0.007876150816238558, 0.008105205122981705, 0.008391347984724446, 0.008779814330281906, 0.00934928032716035, 0.009933015998555384, 0.010188837148532049, 0.01048198369858051, 0.010824610491694836, 0.011235705375883179, 0.011791930092417935, 0.011603801501249837, 0.010338213005645466, 0.012623482242369503, 0.009252326198067243, 0.010392904033535787, 0.008333220801432124, 0.010249894828360636, 0.008189740203858972, 0.010668251427757687, 0.007917787816126419, 0.0106702951925446, 0.007424963239626144, 0.011463959786483936, 0.007310472757890748, 0.010025820111838031, 0.007005589741209676, 0.007691304111704719, 0.006822426702559154, 0.007267433329812851, 0.00621237330993248, 0.006640334983840567, 0.004175868613566371, 0.003831841533150325, 0.0006422933108220677, 0.0003108040930976735, 0.00012215564866945773, 1.0852625550071051e-05, 3.1641282658679026e-05, 0.0002473402370311791]"
1,"[0, 0.0019499987946380221, 0.0020112802814214507, 0.0020861913730617393, 0.0021855853747751153, 0.0023357939049457816, 0.00256282217898029, 0.0027931893351926984, 0.003002205417330231, 0.003207946427111266, 0.0033888769753494786, 0.003528727565788528, 0.0036356487731001655, 0.0037242532889669045, 0.0038050227073557954, 0.0038842329435136735, 0.003965880036810033, 0.004053306339032113, 0.0041551567064712835, 0.004420303311355252, 0.004572481653630099, 0.004727416413609687, 0.004915773211129656, 0.005164030356945276, 0.005518267788448162, 0.005878916201900836, 0.00604031445437717, 0.006217955702863501, 0.006422073885835806, 0.006666236015079303, 0.007000641555646594, 0.006905403965995362, 0.00617547898979887, 0.007579702788831018, 0.005594543678193679, 0.006342181702755257, 0.005138118685898234, 0.006411446391772639, 0.005183757770373589, 0.00683393996610962, 0.005066775787664098, 0.006878223358324874, 0.004728422382097057, 0.007385421409447936, 0.0045843239634812735, 0.006430718088424069, 0.004320108132783726, 0.00485838508209102, 0.004034192670990552, 0.004357708140798434, 0.002735762031317384, 0.002825781727198746, 0.0008934519127901928, 0.00037987403348866355, 7.413977584309863e-05, 7.540400047810799e-05, 8.308536736696893e-05, 4.667076628412962e-05, 8.72540355222415e-06, 0.0001797540022528697]"
2,"[0, 0.005255808467208734, 0.0053207732863280064, 0.00538979352819781, 0.005462468602835697, 0.005538212755904821, 0.005616406861379413, 0.005696605953712168, 0.005778698490429796, 0.005862989586332193, 0.005950189299577039, 0.006041288370393867, 0.0061374284183533445, 0.006239857930893276, 0.0063499773714980785, 0.006469433533112942, 0.006600296587327929, 0.006745701447775369, 0.006918677186686721, 0.007366437123499495, 0.0076292395429694935, 0.007899358170981427, 0.00822735361880607, 0.0086573905033302, 0.009267129850599213, 0.009890209767857417, 0.010179355662259464, 0.010492307557329005, 0.010839475754176847, 0.011240220982028102, 0.011769816274883159, 0.011546500009631887, 0.010251940357276505, 0.012479991683244525, 0.00911493574101655, 0.010221105105476318, 0.008179961963094753, 0.010061895593738709, 0.00803140336065507, 0.010477251997852072, 0.007773757010320354, 0.010504153349572026, 0.007308051631575657, 0.01130050624939198, 0.007178830475439623, 0.009844244996503796, 0.006754244913782673, 0.007457764388911124, 0.006358628799182799, 0.006778500998433567, 0.00418790288187623, 0.0036076660497269225, 0.0007884795569844179, 0.0004284065575718846, 0.0003420167674975922, 0.00025769425690455177, 0.0002915303294206911, 0.00025916495619956586, 0.00016918222498157523, 0.00038273436049664553]"
3,"[0, 0.01222815550139109, 0.012306601075369865, 0.012390393124407133, 0.012478186111488043, 0.012568215038245121, 0.01265865544748298, 0.012748091831283772, 0.0128358600195995, 0.012922202743473036, 0.013008200881661066, 0.01309547066463241, 0.013185867027648027, 0.013281379662555791, 0.013384217485076188, 0.013496993024544594, 0.013623071081301626, 0.013767841790528331, 0.0139564030049392, 0.01467903657879363, 0.015002626325395911, 0.015320729727266716, 0.01573070400928055, 0.016311018825931115, 0.01719603833635036, 0.018062651365577408, 0.018285992913450757, 0.01854081182742065, 0.018846688126728132, 0.019231756855766897, 0.01981276813132173, 0.019116100891687336, 0.01667013985964345, 0.019880284200385234, 0.013323624383019496, 0.012710143978667416, 0.005147381208688789, 0.006211828790400144, 0.0036390848171592486, 0.007529486983022318, 0.005519482167176741, 0.005569365938889209, 0.004811145501080822, 0.006536884105112672, 0.006375427355752497, 0.007296268078753265, 0.008083969972145142, 0.005399274949294616, 0.0064809318894296425, 0.0057163888120066245, 0.0060396898583128045, 0.006296642955222656, 0.006238904999211543, 0.006611874278935165, 0.006596137909498002, 0.006531958976114632, 0.006415469466132334, 0.006444657860470518, 0.006377460451641542, 0.0067477923049697386]"
4,"[0, 0.001400324020666558, 0.001404199715930696, 0.0014084144378238045, 0.0014127854043825996, 0.0014170908165388263, 0.0014211181819640786, 0.0014247047476468042, 0.0014277652689179345, 0.0014303155088509307, 0.001432351364983715, 0.0014337502073380904, 0.0014343275702918329, 0.001433980119618298, 0.0014327501283608126, 0.0014307910658427853, 0.0014283465256879875, 0.0014258657129944882, 0.00142582220665438, 0.0014773169303747037, 0.0014865689942528573, 0.0014989915533629074, 0.0015362923476834494, 0.001651846365696858, 0.002089682248621208, 0.005424309460346124, 0.004825144212524852, 0.0023864558813712525, 0.0029727333422404504, 0.0034267958733667767, 0.0032068251984938667, 0.005056613785808578, 0.002734599892715048, 0.00542188519643511, 0.0005096470322665957, 0.0038248434554398678, 0.0017074808495548576, 0.003877228625265147, 0.001796823833321108, 0.0038747682524851185, 0.0022158667328365856, 0.00361945102349537, 0.002391116453176292, 0.003934189774204214, 0.0033851486575744434, 0.004750661792138307, 0.004435099982254538, 0.001808501228734741, 0.0028455544185983055, 0.003084824293451617, 0.003041809273826566, 0.002892916721133468, 0.003047325368330702, 0.0034988879644907733, 0.003540779273636347, 0.003521760775171856, 0.003474068881766198, 0.0034745366810600017, 0.00348894417847339, 0.003718007417430778]"
5,"[0, 0.010959975305511184, 0.011043572705790511, 0.011131496305005983, 0.011222417600115036, 0.011314568402566507, 0.01140603441947874, 0.011495145216588695, 0.011580781615189328, 0.01166246821469242, 0.011740281017626088, 0.01181469376898833, 0.011886741557569276, 0.011958839501428929, 0.01203559323396217, 0.01212299506930806, 0.012226529071700082, 0.012351484784730648, 0.01251970242057471, 0.013170418066003092, 0.013468151294976588, 0.013763674057587608, 0.01414459487849313, 0.014682614204913728, 0.015501257474167744, 0.016313765331443807, 0.016559834678066983, 0.016850262303728436, 0.017203384013281246, 0.017643860738998915, 0.018276720994439787, 0.01771916595291171, 0.015507649176082633, 0.018574840669047105, 0.01326149584384399, 0.014628788027037602, 0.011399110897776748, 0.013756796231211931, 0.009984675958571835, 0.012650694416211257, 0.002682612256723156, 0.0013296368541420574, 0.0017552306099777855, 0.002724582813849851, 0.002027522928733696, 0.002553726112218845, 0.002664019760646545, 0.0033605401352440173, 0.003594613155155313, 0.0043529583330446054, 0.004006402381384925, 0.003670498940079473, 0.004353418853011399, 0.0041433690362641315, 0.004233270262831739, 0.004448270962089844, 0.004222680940552175, 0.0040691532257397245, 0.004316532038886601, 0.004167403371944892]"
6,"[0, 0.0017520719481042453, 0.0017803451271088248, 0.0018102059999806682, 0.0018415586271670415, 0.0018742461798346244, 0.0019081012489499769, 0.0019430176437770764, 0.001979008350292475, 0.0020162360690346224, 0.00205501440118757, 0.002095765842651889, 0.0021389684015096482, 0.0021851241631367425, 0.0022347508838129835, 0.0022883779456245716, 0.0023465573820241363, 0.002410039108588567, 0.002482916044838691, 0.0026535322411791835, 0.0027561087226985236, 0.0028580092487991817, 0.002976773505850901, 0.0031280844767733566, 0.0033399047256013887, 0.0035524253004615876, 0.003642759395960981, 0.0037418935896970954, 0.00385472675183174, 0.0039891861458439945, 0.0041726711398242375, 0.004092329172886011, 0.0036355012978115464, 0.004429541134262535, 0.003240887238116029, 0.003636520146460302, 0.00291472737363674, 0.0035834378528260026, 0.0028648607376532804, 0.0037309917199347354, 0.0027746573421594018, 0.003738277198613395, 0.0026124113582435046, 0.004027865524712341, 0.002595034610299941, 0.0035386031492912464, 0.0024968238748602897, 0.0027326152865093196, 0.0024556138748134705, 0.0026166181845329005, 0.0023070903434131043, 0.0024943981293185954, 0.002269432688477211, 0.002448815386558755, 0.002273818079938201, 0.00245885642907126, 0.002238854650409048, 0.002429038963014566, 0.002239600532651821, 0.0024532222656393505]"
7,"[0, 0.012159009943698501, 0.012202794962945554, 0.0122473612248423, 0.012290189111958371, 0.012328716646432987, 0.012361727545421057, 0.012390577416105239, 0.01241849961048469, 0.012448368983849408, 0.012481667917843907, 0.012519076684344136, 0.012561217260165215, 0.012608987657332125, 0.012663702315509024, 0.012727220870420525, 0.012802208160763495, 0.012893250704223745, 0.013023274536163785, 0.013647399766432486, 0.01389524085501079, 0.014132317914355413, 0.014445998361373355, 0.01490066890808812, 0.015590188468499614, 0.016092401302483843, 0.015937278069928805, 0.01602319745683435, 0.016210545708549975, 0.016470151545605282, 0.016886073573128327, 0.016184456100477335, 0.01400320203956218, 0.016503835787332846, 0.008395397891035066, 0.0030102549703490997, 0.004542494044921562, 0.0022659354790033836, 0.004785443072652539, 0.002690871565846524, 0.004540176712283862, 0.004927429124622465, 0.005404629836923494, 0.004781740829951978, 0.005448425196384027, 0.008231351761488225, 0.006887101396955563, 0.0012269196946175344, 0.0007186934777757727, 0.0012923259852596215, 0.0020724197482908935, 0.003798639698711542, 0.004461907029765702, 0.0056756494201148444, 0.005766257492875857, 0.006006010975006635, 0.005920992735572979, 0.006035054989052763, 0.006054857367802157, 0.006348113049566356]"
8,"[0, 0.01107723965758121, 0.011164626190245804, 0.011255812924848365, 0.011349775748149398, 0.011445101034096405, 0.011540312753557368, 0.011634315525044656, 0.01172673685404337, 0.011818053540048508, 0.011909543870198073, 0.012002993574790713, 0.012100363415099112, 0.012203665858261775, 0.012315073654436634, 0.012437136233220071, 0.01257313105982469, 0.012728258634184588, 0.012926052132379018, 0.013622074312242414, 0.01395416758972998, 0.014285506655842018, 0.014707606447496866, 0.015295975813411187, 0.016180877694569825, 0.017064947302406343, 0.01736203077415881, 0.017707001393950452, 0.018118680298848014, 0.01862886731349503, 0.01936272695977071, 0.01887160887652397, 0.016664302314922448, 0.02019594006521902, 0.014652651418083308, 0.016332566860729855, 0.01292496858538601, 0.015739698730415235, 0.012310515586510272, 0.015877798464818793, 0.011201259946204167, 0.01504275664151962, 0.004845950326945309, 0.0039625129356460845, 0.003135067482830025, 0.0033150304586817662, 0.0028280568820745764, 0.0010669049413233166, 0.0004060783677675014, 0.0008188336014948634, 0.001306632886679691, 0.0021760247032524393, 0.0021369488010694695, 0.0029915896671120407, 0.003184458528590716, 0.003444530523747832, 0.0034835737841143696, 0.003590194458998394, 0.0035631360005970664, 0.004069859229985765]"
9,"[0, 0.005840302690517841, 0.0059113791203670996, 0.0059897631255297, 0.006071326610405109, 0.006140073331312286, 0.006181569714117022, 0.006288317591773387, 0.006510961207461807, 0.006821097819953752, 0.007177553014898186, 0.007512552174922716, 0.007773453947356062, 0.00795879892414322, 0.008094338471469342, 0.008204734740235326, 0.008306876831948643, 0.008412748118925112, 0.008542985441586222, 0.009002111102845758, 0.009221574235359149, 0.009443621137916443, 0.009731268703176907, 0.010136362459443648, 0.010745238133930485, 0.011349981028961358, 0.011523681184831894, 0.011633624183303805, 0.011686197288967509, 0.011109304491548929, 0.005445880663095811, 0.003540095673897597, 0.004438406820658809, 0.0035954157498245373, 0.0024271671081158696, 0.0018609472772073378, 0.0007231268692785367, 0.0026543800251992494, 0.0002798978611718517, 0.002401407492098064, 0.0012830765816722344, 0.0022498622024515655, 0.001989263635786941, 0.0013036158303633206, 0.0021032885922065694, 0.005110415489503896, 0.004756975654799519, 0.0019337046688593532, 0.0026751863416893213, 0.0032195246582720784, 0.0032398200367849423, 0.0030993575473597136, 0.0036867257636109953, 0.003888288386421859, 0.003970920296383838, 0.0040527997767628296, 0.0039380527444512975, 0.003884178887238521, 0.00403100532746441, 0.00398288138634007]"
