,v
0,"[0, 0.006625249970668462, 0.006703327742998558, 0.006785968169372154, 0.006872166925137187, 0.006960573949921674, 0.00704978064968253, 0.007138679476491744, 0.007226742344162916, 0.007314113867857658, 0.007401531534854567, 0.007490167628289017, 0.007581537719665709, 0.007679601757663139, 0.007783746956840648, 0.007895460490344708, 0.008016912899214001, 0.00815297791999782, 0.008348680536848629, 0.009081381466909604, 0.009396140178242241, 0.009658893761049241, 0.00995840516116648, 0.010327967889720296, 0.010818533062850404, 0.011533816777736369, 0.012668827244922035, 0.014568817507629101, 0.014574190452677807, 0.014530777748706042, 0.014505130212317857, 0.013369052245161167, 0.0143415585630454, 0.01284611802118744, 0.013193854507277235, 0.010364196094458959, 0.01227951464439382, 0.0098335637320894, 0.012690601085097288, 0.009159481338913084, 0.013221939925491713, 0.007639011388434289, 0.010054588833770587, 0.005837113554768821, 0.009885409065121814, 0.0075969143564195525, 0.009615566835100916, 0.007874020797001316, 0.009410103244744073, 0.00801754828635395, 0.008269747427912833, 0.008084415607274638, 0.008135821713034458, 0.008125787630447632, 0.008036346336597014, 0.008152787376255428, 0.007955178734171226, 0.00816198857813023, 0.007885410766811873, 0.008154540552434092]"
1,"[0, 0.00460415701319185, 0.004634887600387897, 0.0046694111703016955, 0.004707394703279232, 0.004748456278517733, 0.004792438650355215, 0.004839750289575393, 0.004891658706714223, 0.004950407301098426, 0.005018983099388141, 0.00510025490040071, 0.005195419593394161, 0.005303409989715154, 0.005420664320102794, 0.005547640621485293, 0.005691153672293506, 0.005865326736250852, 0.006115118680072981, 0.006802789545516901, 0.007207258202809237, 0.007526820132661319, 0.007813108029262618, 0.008115687018858396, 0.008495496112662924, 0.009044847517459794, 0.009920122034292893, 0.011383482446223652, 0.011334850863688474, 0.011136472739254803, 0.010958201816647995, 0.009565643447932558, 0.009769140722753079, 0.002638700494821467, 0.00882856775994658, 0.0036022904195045008, 0.007622617588547494, 0.003618513101239683, 0.007021793625896421, 0.0038647819334709835, 0.0058754180425542955, 0.004973626719363071, 0.005969773074459549, 0.007302016577341426, 0.005212327916256234, 0.00750622047241268, 0.005954194762186626, 0.007641539873314259, 0.006508156147231297, 0.007640240964347038, 0.007610700407968923, 0.007582358474511495, 0.007588066775943887, 0.007520458179748409, 0.007589050841478212, 0.007497448962650248, 0.007603549664366466, 0.007490041340890493, 0.0076213271186161636, 0.007496879291579285]"
2,"[0, 0.006691931732810102, 0.006758205179650739, 0.0068287896793847586, 0.006902621199590106, 0.006978292225802979, 0.007054340320734562, 0.007129604690903133, 0.00720349677100811, 0.007276082565259725, 0.007347990644571389, 0.007420235563881937, 0.007494022161227141, 0.007569809812483565, 0.007649960816709973, 0.00773623108252222, 0.007830856881188364, 0.007938641574154566, 0.008103125731549747, 0.008785244174740588, 0.009056586195462797, 0.009273092727993305, 0.009520114184816146, 0.009828343317696709, 0.010244239002650583, 0.010862319900759419, 0.011858955650513045, 0.013541994092242392, 0.01343557917962329, 0.013287149558953673, 0.013186707374149774, 0.012078714568305837, 0.012937243253134835, 0.011537449871784185, 0.011871220481609853, 0.009274884885002404, 0.011081468910826111, 0.00885455687001958, 0.011642061323295212, 0.008590105599416111, 0.012850282187026437, 0.008331554899297442, 0.010254342719217576, 0.006935271941483206, 0.006291694140559847, 0.006688195507343908, 0.005868287904269846, 0.00704327552819149, 0.006283947664238811, 0.007170189457757209, 0.007137540071455058, 0.007099542651762481, 0.00708155841437619, 0.0070139003070860935, 0.007065538519581113, 0.006972043449787128, 0.007067460077365832, 0.006947118098021135, 0.007073561352400188, 0.006936986109024982]"
3,"[0, 0.013657076631489112, 0.013741610460007126, 0.013831809684611267, 0.013925195522441418, 0.014018618176988898, 0.014108857793035107, 0.01419334531752536, 0.014270689212522253, 0.014340808731045207, 0.014404713606370665, 0.014464121604747481, 0.014521071283993355, 0.01457681708484021, 0.014634597055703044, 0.014697008338476775, 0.01476742867506045, 0.0148538166675616, 0.015035525431332204, 0.01615540441619238, 0.01648195763971452, 0.016684822813088154, 0.01691689380490503, 0.017223977806257236, 0.01767111580202942, 0.018389721727503642, 0.019612921380637836, 0.021710474329970912, 0.020640882078669247, 0.0195075159144756, 0.018556584451169107, 0.016252837724333415, 0.01673853544634821, 0.0138652917538012, 0.01312566567849346, 0.0049762399927399115, 0.012668553463719139, 0.007279043060106217, 0.007698013565442331, 0.006826066879874677, 0.01108786659121502, 0.011023103121100105, 0.010858108228362666, 0.012751901243613788, 0.009320864285859843, 0.01265365857362794, 0.010181841533517873, 0.012686793195488362, 0.012198543330415808, 0.012840977310972179, 0.012913804809101226, 0.01280010323672236, 0.012767737511933617, 0.012706391432287726, 0.012718962017128096, 0.012663642795419428, 0.012702206076531447, 0.012647982587430837, 0.012701723066329199, 0.012654201948772387]"
4,"[0, 0.0019364049524038958, 0.0019279199101548124, 0.0019194704544983712, 0.0019106407298968627, 0.0019009358963165176, 0.001889873361615765, 0.0018770856246250378, 0.0018623896528435708, 0.0018457952252775936, 0.0018274574588449998, 0.0018076022661008132, 0.0017864816030693084, 0.001765002809585731, 0.0017424994329224826, 0.0017192130962016582, 0.001695739181273887, 0.0016735241913006973, 0.0016622343668145011, 0.001753482964377716, 0.0017627337907960424, 0.0017766451603369805, 0.001827110279866348, 0.0019512547699634237, 0.00222053117308297, 0.002802321173488882, 0.004734052589803934, 0.006698464633212171, 0.008311708987974311, 0.008689805236185986, 0.002612389696324365, 0.007102042397269737, 0.003279731984756379, 0.006851704274993197, 0.004717831283783442, 0.0060336065260734525, 0.005037796050923841, 0.0053326925445637535, 0.005734393242720459, 0.004919331726759794, 0.005405794703959579, 0.005138138890932077, 0.006104636726921663, 0.005156121539510952, 0.005467027574936376, 0.005608618175802116, 0.0072273186049343725, 0.006201137292334172, 0.00733727972373115, 0.0064610863752938615, 0.006389594425348357, 0.0066034661301207715, 0.006270015519291497, 0.006589316173915475, 0.006247415609477139, 0.0065975970222493146, 0.0062593493153420875, 0.00658954901164296, 0.006259279412643202, 0.006578942451865515]"
5,"[0, 0.015716559247834057, 0.015774551642083, 0.015835476601351317, 0.015896013732431644, 0.01595204321269184, 0.015999340613818448, 0.016034396599140802, 0.016054995554004758, 0.016060307861837226, 0.01605045600215054, 0.016025407438260423, 0.015981336718467177, 0.01585059876766236, 0.0156561005325398, 0.01538001610749232, 0.01501548273109252, 0.01461247354729639, 0.014344334349093027, 0.015059361772957284, 0.015108839855334802, 0.015112485668288673, 0.015172139034916482, 0.015308504220506638, 0.015572791229335303, 0.016083575144735126, 0.017059036624119363, 0.018858925043665757, 0.018029036503229543, 0.01720844985592064, 0.016522220198860946, 0.014513917946887465, 0.014814032444296986, 0.0081148323925508, 0.015964270450933158, 0.009874621640114647, 0.013552754903754745, 0.009966866652302953, 0.01295439119119474, 0.0103184969435263, 0.013688990575519235, 0.013540929264091553, 0.014286327623327945, 0.01660196077627311, 0.01228503188005113, 0.016662513925358547, 0.013194735117414858, 0.01679491089904093, 0.016943487778493218, 0.016958047441338678, 0.017464723294377447, 0.016979520231484815, 0.017262062970364308, 0.017040088165935583, 0.017174542106550058, 0.017106802251352166, 0.017143752015757616, 0.01718508309813111, 0.017152163999988257, 0.01727717844552835]"
6,"[0, 0.0037049285491242167, 0.003768654107112517, 0.0038364551020273288, 0.00390784841174617, 0.003982137172930982, 0.004058567186118455, 0.004136531649903829, 0.004215736987689998, 0.004296265743615396, 0.0043785362737082684, 0.004463208276759215, 0.004551120248986811, 0.0046444767306171, 0.004742729523305593, 0.004846654839040724, 0.004957457332859615, 0.005078039614052485, 0.005236484035686608, 0.005734368211663988, 0.005972271335780851, 0.006177413584165946, 0.006404898951969204, 0.006675737331953463, 0.007022809830673698, 0.007513757304418214, 0.008276339840217164, 0.00953650590067434, 0.009548635993332655, 0.009518565708089434, 0.009439813967778786, 0.008671512403765501, 0.009211530385847494, 0.008213926248764398, 0.008374979296970451, 0.006582816966484339, 0.007752574708790915, 0.006253473766192284, 0.008062755150652436, 0.005985043885697837, 0.008684060723486747, 0.0058190352011233066, 0.007245436200928536, 0.005889704983682596, 0.0060245163895016815, 0.006041248454570486, 0.006034790053387141, 0.006103399929535691, 0.006133312538782657, 0.005943615654725777, 0.0055182729818247485, 0.005884209804049886, 0.005479474894381915, 0.005858602217008626, 0.005450084073580523, 0.005858396648698482, 0.005429227510219456, 0.005864753990919531, 0.005419905758997569, 0.0058786039937822904]"
7,"[0, 0.010990002849015992, 0.011075841467246774, 0.011168006140591893, 0.011264794672981455, 0.01136399346019393, 0.011463345005296539, 0.011561077400707803, 0.011656144558322541, 0.01174759950597799, 0.011830771021632347, 0.01186431008797058, 0.010743211018037647, 0.010812973825812259, 0.011055516812752596, 0.011391909055688862, 0.01180383296499798, 0.012243333865637059, 0.012698014653808558, 0.013857493003608078, 0.014273354147139001, 0.014537204157811373, 0.014815663990288767, 0.015169328777838586, 0.015670689881103407, 0.01645613390463343, 0.01777182089097869, 0.020030494530437894, 0.01952667160784535, 0.01887103326573577, 0.0180975202565987, 0.015568497063196558, 0.014561313591245576, 0.011163439193126196, 0.0037302037793473, 0.01097232173229352, 0.008950814270221881, 0.011161862144170415, 0.009611970210630531, 0.0107362875122531, 0.01084726919725002, 0.010964626603463706, 0.011689385115326033, 0.011772651368287878, 0.011411806036340923, 0.011955665326914486, 0.012378826954443579, 0.011645738149017964, 0.012737192521123554, 0.0114193540522413, 0.011144525529271735, 0.011526187920993695, 0.011069452402506912, 0.011510622326347088, 0.011056611313212294, 0.0115406436292314, 0.011077636673930347, 0.011574753416347117, 0.011113497937787398, 0.011607673198320555]"
8,"[0, 0.008639749095369149, 0.008746120434554699, 0.008857336985388384, 0.008972118937858351, 0.009088718094309776, 0.009205292972049427, 0.00932037730415341, 0.009433240466310878, 0.00954400378496489, 0.009653528202495314, 0.009763190272616525, 0.009874653722910083, 0.009989549929862092, 0.010109960861368231, 0.010237992836488893, 0.010376420745643062, 0.01053143680831751, 0.010760772046410873, 0.011677066323018948, 0.012045342210661586, 0.012340676387759044, 0.012677410996061412, 0.013097240641678082, 0.013663229933236118, 0.01450328008342444, 0.01585627119192929, 0.018141402212142436, 0.018044479948433844, 0.0178959944098437, 0.017783325515539752, 0.016335119883472592, 0.017477334092180028, 0.015631575069334748, 0.016041174814135573, 0.012621802630517182, 0.014965390412881738, 0.012053611783237973, 0.0156179630323423, 0.011538748634667192, 0.016790185674330875, 0.01114812014429242, 0.013921164826112881, 0.01118209954415751, 0.011491400560492316, 0.01133450762413883, 0.011277885401679816, 0.010838031351877915, 0.009180663872372796, 0.005012358502492952, 0.005364728920530327, 0.005599284065426628, 0.005281509199918792, 0.005630578245050823, 0.005256848377811937, 0.005652749453948161, 0.005285065820751586, 0.005681761516890341, 0.005310608685782083, 0.005706878082536488]"
9,"[0, 0.00472629280485389, 0.004820512521744003, 0.0049261569470713295, 0.0050453375264419694, 0.0051810583280436145, 0.005337793703834532, 0.0055219393161963165, 0.0057413025650576875, 0.006001958447816305, 0.00630083628567175, 0.0066172829470767984, 0.006915982201927609, 0.007165949082161467, 0.007357454046082624, 0.007495719335981833, 0.007589530870992952, 0.007645746836414666, 0.007703515493732725, 0.008193674789154056, 0.008252061803956542, 0.00829984701148908, 0.008444286546946836, 0.008693692869059131, 0.009071333144619489, 0.009655255433979455, 0.010605603572843332, 0.012200830383614221, 0.012181226947798105, 0.011972041676340407, 0.010890455002806606, 0.008510167866270816, 0.0012124025061934576, 0.008519519114453925, 0.004613882078724092, 0.007434035672184138, 0.0059700207419674895, 0.007256631596098341, 0.006603049777939719, 0.0067060470169068055, 0.0067246211604259426, 0.006784133256028013, 0.006754366692898754, 0.006604394819660367, 0.007404303941818275, 0.007360006952637503, 0.008614878624259862, 0.0076967113997094124, 0.008865375726703905, 0.007951891723184156, 0.00780992462813887, 0.008169663105107923, 0.007778673039740485, 0.008164973286304101, 0.007758882846054583, 0.008178493868923373, 0.00776218359619645, 0.008167900044416766, 0.007760689177620587, 0.008160544259778827]"
