Carga Deformacion
0.15741 1329.0561
0.47015 1328.86386
0.92158 1341.56321
1.72702 1346.61965
2.51183 1370.03773
3.29664 1381.74676
4.08145 1393.4558
4.86626 1405.16484
5.65107 1422.72839
6.43588 1440.29195
7.22069 1440.29195
8.0055 1452.00099
8.79031 1457.8555
9.57512 1469.56454
10.35992 1475.41906
11.14473 1481.27358
11.92954 1492.98262
12.71435 1492.98262
13.49916 1504.69165
14.28397 1504.69165
15.06878 1516.40069
15.85359 1516.40069
16.6384 1516.40069
17.42321 1528.10973
18.20802 1528.10973
18.99282 1528.10973
19.77763 1528.10973
20.56244 1533.96425
21.34725 1539.81876
22.13206 1533.96425
22.91687 1545.67328
23.70168 1545.67328
24.48649 1545.67328
25.2713 1539.81876
26.05611 1551.5278
26.84092 1557.38232
27.62572 1557.38232
28.41053 1557.38232
29.19534 1551.5278
29.98015 1551.5278
30.76496 1557.38232
31.54977 1545.67328
32.33458 1557.38232
33.14398 1567.61171
33.9042 1569.09136
34.68901 1563.23684
35.47382 1563.23684
36.25863 1563.23684
37.04343 1563.23684
37.82824 1563.23684
38.61305 1574.94588
39.39786 1569.09136
40.18267 1569.09136
40.96748 1574.94588
41.75229 1569.09136
42.5371 1569.09136
43.32191 1574.94588
44.10672 1563.23684
44.89153 1563.23684
45.67633 1569.09136
46.46114 1569.09136
47.24595 1563.23684
48.03076 1569.09136
48.81557 1569.09136
49.60038 1569.09136
49.93233 1567.61171
